"","url","date","title","text"
"1","https://articles.mercola.com/sites/articles/archive/2009/01/31/everything-you-need-to-know-about-arthritis.aspx","March 20, 2016","Study Finds Evidence of Connection between Arthritis Flare-Ups and Weather Conditions","By Dr. Mercola
Do your joints ache when a storm is coming? Do you feel like a walking, talking weather prediction station? You may be convinced your arthritic pain is worse when the barometric pressure falls, but many researchers have developed headaches trying to prove this with science.
The vast majority of studies have failed to establish a scientific connection between changing weather patterns and rheumatoid arthritis symptoms.
Despite its lack of scientific support, both arthritis sufferers and rheumatologists insist there is a great deal of clinical support for this phenomenon, citing widespread reports of weather-induced pain flare-ups.
More than 60 percent of osteoarthritis patients report that their symptoms vary with weather conditions.1 Fibromyalgia patients have also reported weather-related fluctuations in pain although, as with arthritis, scientific evidence is elusive.2, 3
Well, clinicians and patients may now be vindicated! A few recent scientific studies have begun to offer some ""mild support"" for what patients and physicians have reported for decades—weather may indeed be a factor in arthritis pain.

The video above will provide you with a first hand account of a remarkable success story.  Sarah Allen, a former patient of mine, shares how she put her arthritis into remission.  I encourage you to take the time to listen to her story and share it with your loved ones who may find it beneficial. 
Weather May Influence Arthritis Symptoms After All
Dutch researchers tracked pain levels of hip osteoarthritis sufferers over the course of two years, and then went back and matched their symptoms against daily weather records.
They found that the participants' aches and pains indeed were a little bit worse and joints a bit stiffer when humidity and barometric pressure levels rose, although the changes were certainly not dramatic.4
Pain scores worsened by one point for each 10 percent increase in humidity. Function scores worsened by one point for each 10 hectopascals (0.29 of an inch) increase in barometric pressure.
These changes were too small to be considered ""clinically relevant,"" but this doesn't mean that the pain was not real. Other recent European studies have shown similar findings, but the changes are all subtle; maybe this is the reason science has failed to demonstrate this connection until now.
How Can Atmospheric Pressure Cause Joint Pain?
Dr. Fotios Koumpouras, the rheumatologist interviewed in the featured video, mentions another recent European study finding a connection between temperature, barometric pressure, and joint pain.
He theorizes that, as barometric pressure falls (like before and during a storm), the pressure inside your joints changes, which may impact your nerve endings around those joints:5
""The ligaments contain these very specialized receptors, and they are stretch receptors. These stretch receptors, particularly in joints that may have arthritis, could be hypersensitive. And small changes in pressure, atmospheric pressure, may in fact allow these receptors to fire.""
Even small changes in pressure may cause these receptors to fire, which you may experience as an increase in pain. However, this is not the only theory in circulation.
Mood and daily activity may also be factors. It's possible that your pain threshold drops during cold, rainy weather, because environmental conditions can definitely affect your mood. When it's cold, many people are less likely to go outside and get the exercise that normally keeps arthritis pain in check.6
Another factor could be the placebo effect (or ""nocebo"" effect7). That is, if you expect your pain to be worse when the weather changes, then it very well may be. After all, the pain-weather ""phenomenon"" is commonly accepted as truth, at least in Western culture.
The Weather Channel even provides a map called ""Aches and Pains Index"" to forecast how severe your pain should be on any given day.8 (If you are a highly suggestible person, perhaps you should avoid going there!)
Now that we've spent some time mucking around in the gray areas of science with respect to arthritis pain, let's take a look at what we KNOW works in terms of pain relief for arthritis sufferers.
Two Kinds of Arthritis—and Both Can Be Painful
There are two types of arthritis: osteoarthritis and rheumatoid arthritis. The only thing they have in common is that they are both characterized by pain, inflammation, stiffness, and swelling of the joints—but they are very different diseases, with different causes and presentations.
Here are the principal differences:
Osteoarthritis (OA): OA, or degenerative arthritis (degenerative joint disease), typically occurs in older individuals, but can also follow repetitive stress or acute trauma.
OA usually affects the distal joints, or the joints at the end of your fingers and toes, not the middle ones. Additionally, OA is not symmetrical, so typically you may have it in just one joint, or on one hand or foot but not the other.
Rheumatoid Arthritis (RA): Much more serious than OA, RA is an autoimmune disease that causes your immune system to attack the tissues that line your joints. RA can occur at any age, but fortunately, juvenile RA is relatively rare.
RA tends to be bilateral and symmetrical. RA also affects your middle joints and is associated with joint deformities, especially your hands and fingers. People do die from RA so it's not to be treated lightly.9
Arthritis Drugs Are Some of the Most Dangerous in Medicine
Due to the fact that both OA and RA involve joint pain and inflammation, they share common treatment modalities. Anti-inflammatory drug approaches such as non-steroidal anti-inflammatories (NSAIDs) and analgesics, like Tylenol, are typically used for both types of arthritis.
The problem with these drug approaches is that regular, chronic use of arthritis drugs can result in liver or kidney damage. Use of analgesics is a very common cause of kidney disease in the United States (analgesic nephropathy).
Acetaminophen is actually the No.1 cause of acute liver failure! Still, pain control is an important aspect of treating RA. Because of its severity, rheumatoid arthritis is often treated aggressively with some of the most dangerous drugs on the market.
A relatively recent class of RA drugs are the TNF-alpha inhibitors, also termed ""biologic"" drugs. While these drugs are enthusiastically promoted by the medical and pharmaceutical industry, there are still concerns about their safety. Potentially serious side effects include infection and cancer. A safety analysis was performed on three TNF-alpha inhibitors: Humira, Enbrel, and Remicade.
It was concluded that, when it comes to your significant risk of death from taking them, there is no difference among the three; they're all equally dangerous.
Arthritis pain can be quite severe and typically, most benefit from some form of pharmacologic relief while waiting for the natural therapies to kick in. So if you chose to use a drug, you'll want to be sure to use the safest drugs and only when necessary, with the ultimate goal of managing your pain without medications. Some of the safest pain drugs are the non-acetylated salicylates, such as salsalate, sodium salicylate, and magnesium salicylate (i.e. Salflex, Disalcid, or Trilisate).
Not only do pharmaceutical agents have a range of potential side effects, but they merely suppress symptoms without doing anything to address the underlying cause. Targeting the cause of the problem is a much more effective approach for achieving long-lasting relief.
Therefore, the remainder of this article will focus on treating arthritis effectively with ""tried and true"" natural approaches that are scientifically sound and that address the cause of the problem, with special emphasis on the management of RA.
First, Address Your Diet
Total Video Length: 25:35
Rheumatoid arthritis affects 1.5 million Americans. The majority are women, and the prevalence in women appears to be on the rise. I have personally treated more than 3,000 patients with rheumatoid arthritis in my practice, which is well over 10 times the number a typical family physician would treat in his or her entire career—so I have a fair amount of experience here.
My rheumatoid arthritis treatment protocol has helped thousands of RA patients go into remission, and one of the key factors is dietary modification.
I cannot emphasize strongly enough the importance of this aspect of the program—it is an essential component of my RA protocol. Following these general guidelines alone will go a long way toward dramatically reducing your chronic inflammation, whether it's from RA or another inflammation-based disease:
Eliminate sugar/fructose and most grains (this automatically means avoiding virtually all processed foods)
Optimize your gut flora by consuming naturally fermented vegetables; work your way up to 4 to 6 ounces per day of fermented veggies
Consume whole, unprocessed high-quality foods, organic and locally-grown if possible
Eat a large portion of your food raw
Get plenty of high-quality animal-based omega-3 fats, such as krill oil
Key Elements of My RA Treatment Protocol
For many years, I followed the Brown Protocol, originally developed by rheumatologist Thomas Brown. Over the years, I have modified his program, making changes to it based on new information provided by modern science, as well as my experience in natural medicine. Using this approach, 60 to 90 percent of my patients experienced improvement. You can review my complete RA treatment protocol here, but I have outlined many key components in the table that follows:
Key Components of My RA Treatment Protocol
Low Dose Naltrexone (LDN)
Naltrexone is a pharmacologically active opioid antagonist, conventionally used to treat drug and alcohol addiction.
However, in very small doses, it is inexpensive, non-toxic, and has immunomodulating properties widely reported by physicians as effective in getting people off of dangerous arthritis medications
Astaxanthin
A powerful anti-inflammatory antioxidant with very powerful pain control properties.
In one study, RA sufferers experienced a 35 percent improvement in pain levels, as well as a 40 percent improvement in their ability to perform daily activities, after only eight weeks on astaxanthin.
Astaxanthin at 4 mg per day is particularly useful for anyone placed on prednisone because it offers potent protection against cataracts and age-related macular degeneration.
Vitamin D
Vitamin D deficiency is strongly associated with the development of RA. Ideally, you'll want to get regular and appropriate sun exposure (alternatively take an oral D3 supplement) and closely monitor your levels to assure you maintain your level within the therapeutic range of 40-60 ng/ml year-round
Exercise
Regular exercise is critical if you want to prevent functional decline from arthritis. RA can lead to diminished muscle mass and reduced strength that can be as debilitating as the physical damage to your joints.
Just be careful not to overdo it, and take care with inflamed joints, icing them when necessary before and after exercise.
Your program should include a range of activities, including weight training, high intensity exercises, cardio, stretching, and core work.

Walking and swimming are also excellent (if you have access to a chlorine-free pool), as are practices like yoga and tai chi.
Drug-Free Relief from Pain and Inflammation
Curcumin (Turmeric)
Curcumin has been shown to be effective against acute and chronic pain and is best known for its potent anti-inflammatory properties; inhibits inflammatory enzymes and blocks inflammation pathways; shown to influence more than 700 genes
Boswellia
Also known as boswellin or ""Indian frankincense,"" boswellia is another herb I've found to be particularly useful against arthritic pain and inflammation
Ginger
Exhibits anti-inflammatory properties and can offer pain relief. Fresh ginger works well steeped in boiling water as a tea or grated into vegetable juice
EFT
Lingering emotional trauma is pervasive in people with RA. One of my favorite tools for addressing this is EFT (Emotional Freedom Technique), which has been described as ""acupuncture without needles.""
Although EFT is something you can learn to do yourself in the comfort of your own home, you may want to employ the help of a well-trained professional
Final Thoughts
If you have OA or RA, implementing some basic lifestyle changes can help quell the inflammation that causes your joints to become achy, stiff, or swollen. Whether you're an arthritis sufferer whose pain and stiffness fluctuates with the season or among the bunch who must manage troublesome symptoms 365 days a year, the guidelines I've shared have a very good chance of helping you to feel better. I know this because I've treated thousands of arthritis sufferers, just like you!
Drugs for rheumatoid arthritis are among the most dangerous drugs prescribed and may cause more problems than they solve, so the sooner you can incorporate more natural treatments and reduce your reliance on pharmaceuticals, the better. If you need to take an analgesic from time to time, this is much less risky than taking them on a daily basis. And in time, you may improve so much that you will completely leave them behind!"
"2","https://articles.mercola.com/sites/articles/archive/2009/01/31/now-they-are-hiding-cell-phone-towers-in-schools-and-churches.aspx","January 31, 2009","Now They are Hiding Cell Phone Towers in Schools and Churches","As school budgets shrink, some are getting money from an unlikely and controversial source: cell phone tower installations. Local schools can make hundreds of thousands of dollars from leases on towers.

But some parents say the money isn't worth it. They say the practice is irresponsible and gambling with students' health without conclusive evidence that towers are safe.

More than 262 million wireless subscribers in the U.S. depend on 120,000 towers to route their calls to the appropriate destination. In residential areas, schools are seen as prime locations for towers. They offer a large tract of land in an area that otherwise has smaller tracts and residential uses.

The debate over school-based towers is happening throughout the United States. In September, an Oregon district banned them on school grounds. Los Angeles Unified School District took a similar step in 2000."
"3","https://articles.mercola.com/sites/articles/archive/2009/01/31/wall-street-gives-big-thumbs-up-to-good-bacteria.aspx","January 31, 2009","Wall Street Journal Gives BIG Thumbs Up to Good Bacteria","Consuming healthy bacteria, or probiotics, can improve your body's overall balance of good versus bad micro-organisms, boosting your general health. But be careful -- not all of the probiotic-containing products found on store shelves provide the health benefits they claim.

Some regular foods contain healthy bacteria naturally, such as yogurt and naturally fermented pickles. But pasteurization has eliminated many of the probiotics that should be found in modern foods. The recent boom in probiotic products reflects an effort to re-introduce bacteria that promote good health.

When choosing a probiotic, look for products that list a specific strain of bacteria on their label, such as Lactobacillus rhamnosus GG -- the final two letters identify the strain. A product that simply uses the first two names may include a similar, but not identical, bacterium that doesn't have the same scientific testing behind it. It’s best when the actual product -- not just the bacterium -- has been tested in humans. Don’t be afraid to do a bit of research, especially when a simple Web search can yield a lot of information.

Some additional tips: Look for the word ""live"" on the package, since organisms killed by processing won't be helpful. The expiration date may be particularly important, because even if a product still tastes good the bacteria may no longer be alive. For maximum benefit, try to consume a variety of different bacteria, as each may contribute something slightly different."
"4","https://articles.mercola.com/sites/articles/archive/2009/01/29/10-antidepressant-alternatives-proven-to-work.aspx","January 29, 2009","10 Antidepressant Alternatives Proven to Work","If you are suffering from depression, but would prefer to try something natural before going the traditional pharmaceutical route, here are some remedies that have stood up to rigorous testing.
PLEASE NOTE: These are NOT my recommendations. I am merely posting them as an article that was published. My recommendations are below in my comment.
1. Cognitive behavioral therapy (CBT)
Cognitive Behavioral Therapy seeks to help people change how they think about things. Unlike more traditional forms of therapy, it focuses on “here and now” problems and difficulties. Numerous clinical studies throughout the world have consistently demonstrated that cognitive behavioral therapy is as effective as antidepressant medication. Within 20 sessions of individual therapy, approximately 75 percent of patients experience a significant decrease in their symptoms.
2. St John’s wort
St John’s wort (Hypericum perforatum) is commonly used for the treatment of depression. It is available in tablets, capsules and liquid form from supermarkets and health food shops. Research suggests that it exerts its antidepressant action by inhibiting the reuptake of the neurotransmitters serotonin, norepinephrine, and dopamine. Numerous double-blind, placebo-controlled studies have examined the effectiveness of St. John’s wort for the treatment of mild to moderate major depression, and most have found the herb more effective than a placebo. It can be at least as effective as paroxetine (Paxil) in the treatment of moderate to severe depression in the short term.
3. S-Adenosylmethionine (SAMe)
SAMe is an amino acid derivative that occurs naturally in all cells. It plays a role in many biological reactions by transferring its methyl group to DNA, proteins, phospholipids and biogenic amines. Several scientific studies indicate that SAMe may be useful in the treatment of depression.
4. Light Therapy
For years, light therapy has been used to treat seasonal affective disorder, a type of depression caused by short winter days and extended darkness. A lack of exposure to sunlight is responsible for the secretion of the hormone melatonin, which can trigger a dispirited mood and a lethargic condition. Light therapy helps to regulate the body’s internal clock in the same way that sunlight does. Light therapy is an effective treatment for seasonal affective disorder, and it may reduce the symptoms of non-seasonal depression as well.
5. Exercise
Researchers have found that regular exercise, and the increase in physical fitness that results, alters serotonin levels in the brain and leads to improved mood and feelings of wellbeing. Study after study has shown that exercise promotes mental health and reduces symptoms of depression. The antidepressant effect of regular physical exercise is comparable to potent antidepressants like Sertraline.
6. 5-Hydroxytryptophan (5-HTP)
5-Hydroxytryptophan (5-HTP) and tryptophan are also natural alternatives to traditional antidepressants. When your body sets about manufacturing serotonin, it first makes 5-HTP. Taking 5-HTP as a supplement may raise serotonin levels. The evidence suggests 5-HTP and tryptophan are better than a placebo at alleviating depression.
7. Massage
One of the best-known benefits of massage therapy is its ability to enhance feelings of well-being. Massage produces chemical changes in the brain that result in a feeling of relaxation and calm. It also reduces levels of stress hormones. Massage therapy lowers levels of stress hormone cortisol by an average of 30 percent. Massage also increases serotonin and dopamine, neurotransmitters that help reduce depression.
8. Acupuncture
Acupuncture is a traditional Chinese treatment in which needles are inserted at specific points in the body. Research suggests that acupuncture can decrease or eliminate the symptoms of depression. A review of 8 controlled trials supported the theory that acupuncture can significantly reduce the severity of depression.
9. Yoga & Meditation
Yoga is an ancient system of relaxation, exercise, and healing with origins in Indian philosophy. Practicing yoga can alter your brain chemistry. Some yoga positions are effective in stimulating the release of endorphins and reducing the level of stress hormone cortisol. Several human studies support the use of yoga for depression, and yoga postures have been specifically shown to increase levels of the neurotransmitter GABA, which may alleviate depression.
10. B Vitamins
B vitamins play a role in the production of certain neurotransmitters, which are important in regulating mood and other brain functions. Folic acid deficiency has been noted among people with depression. Vitamin B6, or pyridoxine, is the cofactor for enzymes that convert L-tryptophan to serotonin, so vitamin B6 deficiency might result in depression. And there is some evidence that people with depression respond better to treatment if they have higher levels of vitamin B12."
"5","https://articles.mercola.com/sites/articles/archive/2009/01/29/good-news-new-u-s-health-secretary-is-a-huge-fan-of-wellness.aspx","January 29, 2009","Good News -- New U.S. Health Secretary is a Huge Fan of Wellness!","Former Senator Tom Daschle was confirmed by the senate last week on President Obama’s inauguration day as the new secretary of Health and Human Services in the U.S. He really does understand many of the problems, as you will see by this video. I believe this is a phenomenal choice and that there is a good chance we will make significant impacts in health and wellness with his leadership."
"6","https://articles.mercola.com/sites/articles/archive/2009/01/29/what-really-causes-autism.aspx","January 29, 2009","What Really Causes Autism?","California's sevenfold increase in autism is most likely due to environmental exposures, according to scientists. A new study advocates a nationwide shift in autism research to focus on environmental factors such as pesticides, viruses and chemicals in household products.

Throughout the U.S., the numbers of autistic children have increased dramatically over the past 15 years. More than 3,000 new cases of autism were reported in California in 2006, compared with 205 in 1990.

Many medical officials argued that the rise was due to changes in diagnoses or migration patterns rather than a real rise in the disorder. But the new study concludes that those factors cannot explain most of the increase in autism.

Researchers analyzed 17 years of state data that tracks developmental disabilities. Migration to the state had no effect, and changes in how and when doctors diagnose the disorder can explain less than half of the increase.

It is possible that a pregnant woman's exposure to chemical pollutants, particularly metals and pesticides, could be altering a developing baby's brain structure, triggering autism. Many parent groups also believe that childhood vaccines could be responsible."
"7","https://articles.mercola.com/sites/articles/archive/2009/01/27/brain-food-how-to-eat-smart.aspx","January 27, 2009","Brain Food: How to Eat Smart","How you eat can affect your mind at a fundamental levels. Here are five things you should know about feeding your brain:
1. Don’t overdose on sugar
Your brain, which accounts for 2 percent of your body weight, sucks down roughly 20 percent of your daily calories. It demands a constant supply of glucose. But this doesn’t mean that you should slurp soda to keep your brain functioning optimally. In fact, high glucose levels slowly but surely damage cells everywhere in your body, including those in your brain.
2. Become a grazer
To optimize brain power, one tactic might be more frequent but smaller meals. Your brain works best with about 25 grams of glucose circulating in your blood stream -- about the amount found in a banana.
3. Eat foods that don’t raise blood glucose levels
Pretzels cause blood sugar to rise very quickly. Raw carrots, however, do not. High fiber carbohydrates raise blood glucose levels relatively slowly, and combining them with fat or protein can slow absorption even more. The key is a balanced diet, where all macronutrients -- carbohydrates, fats and proteins -- are given their due.
4. Know your fats
Not all fats are equal. Trans fats, common in fast food, are the worst. However, your brain is 60 percent fat, and very low levels of cholesterol have been associated with depression, aggression and anti-social behavior. Essential fatty acids, such as omega-3s, are proving valuable in treating depression and other psychiatric disorders such as schizophrenia, as well as benefiting infant brain development.
5. Know yourself
Food affects everyone's brain a little differently. Listen to your body, and find out what choices are right for you."
"8","https://articles.mercola.com/sites/articles/archive/2009/01/27/mercury-in-vaccines-was-replaced-with-something-even-more-toxic.aspx","January 27, 2009","Mercury In Vaccines Was Replaced With Something Even MORE Toxic","The short, eye-opening eBook linked below is titled Aluminum in Vaccines -- a Neurological Gamble, by Neil Miller, director of the Thinktwice Global Vaccine Institute. It documents the hazards associated with aluminum-laden vaccines. Children are receiving high concentrations of aluminum in their shots. This well-documented neurotoxin may be more dangerous than mercury.

Vaccines containing high concentrations of neurotoxic aluminum were added to the child immunization schedule when several vaccines containing mercury were removed. Two-month old babies now receive 1,225 mcg of aluminum from their vaccines -- 50 times higher than safety levels! Although the FDA, CDC and World Health Organization are aware of the dangers, they expect parents to play Russian roulette with their children."
"9","https://articles.mercola.com/sites/articles/archive/2009/01/27/insider-reveals-how-fda-demolished-safe-mercury-levels.aspx","January 27, 2009","Insider Reveals How FDA Demolished “Safe” Mercury Levels","Dr. Jane Hightower explains the dubious history of safety standards concerning mercury levels. Current levels of ""safe"" mercury content are now based on this misleading data. You can view her giving more information on the subject here."
"10","https://articles.mercola.com/sites/articles/archive/2009/01/24/lower-your-blood-pressure-with-vitamin-c.aspx","January 24, 2009","Lower Your Blood Pressure With Vitamin C","A study has linked high blood levels of vitamin C with lower blood pressure in young women.
The study involved almost 250 women. They entered the trial when they were 8 to 11 years old, and over a 10-year period, their plasma levels of ascorbic acid (vitamin C) and blood pressure were monitored. Both their systolic and diastolic blood pressure readings, were found to be inversely associated with ascorbic acid levels.
Previous research had already linked high plasma levels of vitamin C with lower blood pressure among middle-age and older adults."
