"","tweet.datetime","text","user.description","total.favorites","total.followers","total.friends","user.location","user.name","screen.name","total.statuses","tweet.mentions","retweet.mentions","url","retweet.url","total.retweets"
"1","Fri Nov 13 20:00:32 +0000 2020","Eating small amounts of fruit can be an excellent way to increase your intake of beneficial antioxidants, vitamins… https://t.co/hdN7cldhDa","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1327340591340875777",NA,5
"2","Fri Nov 13 17:26:02 +0000 2020","Why Your Positive COVID-19 Test May Be Wrong. https://t.co/GZp6nJ2gcL","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"http://dlvr.it/Rld2VC",NA,51
"3","Fri Nov 13 16:42:09 +0000 2020","RT @MercolaFitness: Wrong and right way of doing a plank 👇 #workoutmotivation https://t.co/5J1YClHSsu","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,"MercolaFitness","MercolaFitness",NA,"http://fitness.mercola.com",4
"4","Fri Nov 13 15:54:45 +0000 2020","RT @stopcovidcold: One study found your risk of developing a severe case of, and dying from, COVID-19 virtually disappears once your vitami…","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,"stopcovidcold","stopcovidcold",NA,"https://www.stopcovidcold.com/",57
"5","Fri Nov 13 15:12:02 +0000 2020","20% of COVID Patients Show Only Gastrointestinal Symptoms https://t.co/EenxvKVqjL","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"http://dlvr.it/RlcZyh",NA,28
"6","Fri Nov 13 14:00:32 +0000 2020","PCR tests are not designed to be used as a diagnostic tool as they cannot distinguish between inactive viruses and… https://t.co/VulMUbobtr","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1327249992944295936",NA,194
"7","Thu Nov 12 20:25:31 +0000 2020","Will a Hugging Station Be the Next COVID ‘New Normal’? https://t.co/Hdy9fNlA4R","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"http://dlvr.it/RlYhkZ",NA,21
"8","Thu Nov 12 20:00:32 +0000 2020","Your blood glucose and insulin levels rise when you eat before bed, which may reduce your ability to sleep soundly… https://t.co/3nibtYm1HJ","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"https://twitter.com/i/web/status/1326978202275700736",NA,20
"9","Thu Nov 12 17:02:11 +0000 2020","If safety requires us to indefinitely forfeit the most valuable parts of our lives, what exactly are we trying to save? ~ A.J. Kay","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,NA,NA,129
"10","Thu Nov 12 15:00:32 +0000 2020","FDA Warns About False Positive COVID-19 Antigen Tests. https://t.co/D0nef6f1tS","Health activist and founder of the #1 natural health site.

Visit 𝗠𝗲𝗿𝗰𝗼𝗹𝗮.𝗰𝗼𝗺 to read my latest articles and updates.",1481,289059,29809,"Cape Coral, FL","Dr. Joseph Mercola","mercola",78453,NA,NA,"http://dlvr.it/RlXfDb",NA,68
