"","url"
"1","https://articles.mercola.com/sites/articles/archive/2008/01/31/don-t-believe-the-hype-there-s-much-more-to-autism-than-genetics.aspx"
"2","https://articles.mercola.com/sites/articles/archive/2008/01/31/lipitor-ads-spark-congressional-probe.aspx"
"3","https://articles.mercola.com/sites/articles/archive/2008/01/29/food-allergies-stir-a-mother-to-action.aspx"
"4","https://articles.mercola.com/sites/articles/archive/2008/01/29/48-percent-of-doctors-admit-to-prescribing-placebos-just-to-shut-you-up.aspx"
"5","https://articles.mercola.com/sites/articles/archive/2008/01/26/the-ten-nastiest-fish-of-all-time.aspx"
"6","https://articles.mercola.com/sites/articles/archive/2008/01/26/scientists-admit-sun-exposure-benefits-outweigh-risks.aspx"
"7","https://articles.mercola.com/sites/articles/archive/2008/01/19/herb-triggers-cancer-cell-death.aspx"
"8","https://articles.mercola.com/sites/articles/archive/2008/01/19/how-your-house-and-office-makes-or-breaks-your-health.aspx"
"9","https://articles.mercola.com/sites/articles/archive/2008/01/17/fish-oil-capsules-are-as-good-as-fish.aspx"
"10","https://articles.mercola.com/sites/articles/archive/2008/01/17/can-chinese-food-cause-cancer.aspx"
"11","https://articles.mercola.com/sites/articles/archive/2008/01/15/how-cell-phones-are-killing-birds.aspx"
"12","https://articles.mercola.com/sites/articles/archive/2008/01/12/what-happens-to-your-body-within-an-hour-of-drinking-a-coke.aspx"
"13","https://articles.mercola.com/sites/articles/archive/2008/01/10/can-you-afford-to-eat-right.aspx"
"14","https://articles.mercola.com/sites/articles/archive/2008/01/10/7-medical-myths-even-doctors-believe.aspx"
"15","https://articles.mercola.com/sites/articles/archive/2008/01/08/16-secrets-the-restaurant-industry-doesn-t-want-you-to-know.aspx"
"16","https://articles.mercola.com/sites/articles/archive/2008/01/08/ancient-tb-case-shows-the-power-of-vitamin-d.aspx"
"17","https://articles.mercola.com/sites/articles/archive/2008/01/08/nalgene-bottles-pulled-from-shelves.aspx"
"18","https://articles.mercola.com/sites/articles/archive/2008/01/05/the-truth-about-saturated-fat.aspx"
"19","https://articles.mercola.com/sites/articles/archive/2008/01/03/great-example-why-you-simply-can-t-believe-that-cell-phones-are-safe.aspx"
"20","https://articles.mercola.com/sites/articles/archive/2008/01/01/can-alcohol-really-help-you-beat-a-cold.aspx"
"21","https://articles.mercola.com/sites/articles/archive/2008/02/28/did-you-know-healing-could-be-so-simple.aspx"
"22","https://articles.mercola.com/sites/articles/archive/2008/02/28/deaths-halt-diabetes-study.aspx"
"23","https://articles.mercola.com/sites/articles/archive/2008/02/28/the-light-that-makes-your-bones-stronger.aspx"
"24","https://articles.mercola.com/sites/articles/archive/2008/02/26/how-vaccines-can-damage-your-brain.aspx"
"25","https://articles.mercola.com/sites/articles/archive/2008/02/26/the-8-most-poisonous-animals.aspx"
"26","https://articles.mercola.com/sites/articles/archive/2008/02/26/artificial-sweeteners-once-again-linked-to-weight-gain.aspx"
"27","https://articles.mercola.com/sites/articles/archive/2008/02/26/the-light-side-of-ms.aspx"
"28","https://articles.mercola.com/sites/articles/archive/2008/02/23/vaccine-companies-investigated-for-manslaughter.aspx"
"29","https://articles.mercola.com/sites/articles/archive/2008/02/21/17-ways-to-create-the-perfect-workday.aspx"
"30","https://articles.mercola.com/sites/articles/archive/2008/02/21/latest-medical-insanity-insecticide-for-your-head.aspx"
"31","https://articles.mercola.com/sites/articles/archive/2008/02/19/most-grocery-store-eggs-far-more-likely-to-be-infected.aspx"
"32","https://articles.mercola.com/sites/articles/archive/2008/02/19/how-statin-drugs-wreck-your-muscles.aspx"
"33","https://articles.mercola.com/sites/articles/archive/2008/02/16/whole-foods-to-stop-use-of-plastic-bags.aspx"
"34","https://articles.mercola.com/sites/articles/archive/2008/02/14/i-was-right-about-the-bird-flu-hoax.aspx"
"35","https://articles.mercola.com/sites/articles/archive/2008/02/14/hazardous-levels-of-mercury-in-sushi.aspx"
"36","https://articles.mercola.com/sites/articles/archive/2008/02/09/medicinal-plants-face-extinction.aspx"
"37","https://articles.mercola.com/sites/articles/archive/2008/02/09/simple-spray-cures-kids-colds.aspx"
"38","https://articles.mercola.com/sites/articles/archive/2008/02/09/some-folk-medicines-contain-lead.aspx"
"39","https://articles.mercola.com/sites/articles/archive/2008/02/09/are-lipstick-chemicals-changing-your-cup-size.aspx"
"40","https://articles.mercola.com/sites/articles/archive/2008/02/07/the-cell-phone-quot-tower-of-doom-quot.aspx"
"41","https://articles.mercola.com/sites/articles/archive/2008/02/07/puberty-at-the-age-of-8.aspx"
"42","https://articles.mercola.com/sites/articles/archive/2008/02/07/is-your-dentist-drilling-for-dollars.aspx"
"43","https://articles.mercola.com/sites/articles/archive/2008/02/07/does-drinking-really-make-you-warmer.aspx"
"44","https://articles.mercola.com/sites/articles/archive/2008/02/05/a-single-meal-can-lead-to-good-or-bad-health.aspx"
"45","https://articles.mercola.com/sites/articles/archive/2008/02/05/why-your-cell-phone-can-hurt-your-children.aspx"
"46","https://articles.mercola.com/sites/articles/archive/2008/02/05/yet-another-lurking-link-between-foods-and-cancer.aspx"
"47","https://articles.mercola.com/sites/articles/archive/2008/02/02/fibromyalgia-lyrica-and-the-new-york-times.aspx"
"48","https://articles.mercola.com/sites/articles/archive/2008/02/02/cholesterol-has-benefits-too.aspx"
"49","https://articles.mercola.com/sites/articles/archive/2008/03/29/diesel-fumes-damage-your-brain.aspx"
"50","https://articles.mercola.com/sites/articles/archive/2008/03/29/broccoli-boosts-aging-immune-systems.aspx"
"51","https://articles.mercola.com/sites/articles/archive/2008/03/27/even-if-you-live-in-sub-tropical-environments-you-can-be-vitamin-d-deficient.aspx"
"52","https://articles.mercola.com/sites/articles/archive/2008/03/25/major-new-discovery-to-predict-colon-cancer-earlier.aspx"
"53","https://articles.mercola.com/sites/articles/archive/2008/03/25/gut-bacteria-mix-predicts-obesity.aspx"
"54","https://articles.mercola.com/sites/articles/archive/2008/03/22/u-s-government-concedes-that-mercury-causes-autism.aspx"
"55","https://articles.mercola.com/sites/articles/archive/2008/03/22/a-one-eyed-invader-in-the-bedroom.aspx"
"56","https://articles.mercola.com/sites/articles/archive/2008/03/22/a-good-reason-not-to-skip-breakfast.aspx"
"57","https://articles.mercola.com/sites/articles/archive/2008/03/22/sound-the-alarm-stop-the-dangerous-drug-promoting-quot-mothers-act-quot.aspx"
"58","https://articles.mercola.com/sites/articles/archive/2008/03/20/curing-cancer-with-herbs.aspx"
"59","https://articles.mercola.com/sites/articles/archive/2008/03/20/the-selling-of-organic.aspx"
"60","https://articles.mercola.com/sites/articles/archive/2008/03/20/can-greasy-hair-protect-your-lungs.aspx"
"61","https://articles.mercola.com/sites/articles/archive/2008/03/18/ridiculous-and-ineffective-diets.aspx"
"62","https://articles.mercola.com/sites/articles/archive/2008/03/18/girl-s-flu-death-happened-within-hours.aspx"
"63","https://articles.mercola.com/sites/articles/archive/2008/03/18/how-cellphone-radiation-affects-your-cells.aspx"
"64","https://articles.mercola.com/sites/articles/archive/2008/03/15/vitamin-d-in-your-skin.aspx"
